id,name,ascii,alt_name,lat,long,feat_class,feat_code,country,cc2,admin1,admin2,admin3,admin4,population,elevation,dem,tz,modified_at,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5881791,Abbotsford,Abbotsford,Abbotsford,YXX,Абботсфорд,49.05798,-122.25257,P,PPL,CA,,2,5957659,,,151683,,114,America/Vancouver,2013-04-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5882142,Acton Vale,Acton Vale,,45.65007,-72.56582,P,PPL,CA,,10,16,,,5135,,90,America/Montreal,2008-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5882799,Airdrie,Airdrie,Erdri,ai er de li,ayrdray,ayrdry,eeodeuli,Ердри,إيردراي,ائرڈرائ,ایردری,艾尔德里,에어드리,51.30011,-114.03528,P,PPL,CA,,1,,,,24673,,1086,America/Edmonton,2008-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4383713,Dellwood,Dellwood,,38.7495,-90.28567,P,PPL,US,,MO,189,,,5025,164,167,America/Chicago,2011-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4383778,Des Peres,Des Peres,,38.60089,-90.4329,P,PPL,US,,MO,189,,,8373,186,183,America/Chicago,2011-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4383785,Desloge,Desloge,,37.87088,-90.52735,P,PPL,US,,MO,187,,,5054,247,246,America/Chicago,2011-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4383857,Dexter,Dexter,,36.79589,-89.95787,P,PPL,US,,MO,207,,,7864,113,116,America/Chicago,2011-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4385018,East Independence,East Independence,,39.09556,-94.35523,P,PPL,US,,MO,95,,,110675,256,262,America/Chicago,2010-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4385494,Ellisville,Ellisville,,38.59255,-90.58707,P,PPL,US,,MO,189,,,9133,221,218,America/Chicago,2011-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4385835,Eureka,Eureka,Ehvrika,Эврика,38.50255,-90.6279,P,PPL,US,,MO,189,,,10189,139,140,America/Chicago,2011-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4385966,Excelsior Springs,Excelsior Springs,,39.33917,-94.22606,P,PPL,US,,MO,47,,,11084,239,242,America/Chicago,2011-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4386289,Farmington,Farmington,FAM,Farmington,Фармингтон,37.78088,-90.42179,P,PPLA2,US,,MO,187,,,16240,278,284,America/Chicago,2011-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4386387,Ferguson,Ferguson,Fergjuson,Фергюсон,38.74422,-90.30539,P,PPL,US,,MO,189,,,21203,153,155,America/Chicago,2011-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4386419,Festus,Festus,,38.22061,-90.39595,P,PPL,US,,MO,99,,,11602,132,132,America/Chicago,2011-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4386685,Flat River,Flat River,,37.85005,-90.51679,P,PPL,US,,MO,187,,,5157,219,222,America/Chicago,2010-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4386802,Florissant,Florissant,Florissant,flwrysant, myzwry,flwrysnt, myzwry,Флориссант,فلوريسانت، ميزوري,فلوریسنت، میزوری,38.78922,-90.32261,P,PPL,US,,MO,189,,,52158,175,176,America/Chicago,2011-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4387496,Fulton,Fulton,Fulton,furuton,フルトン,38.84671,-91.94796,P,PPLA2,US,,MO,27,,,12790,233,236,America/Chicago,2011-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4387990,Gladstone,Gladstone,Gladston,Гладстон,39.20389,-94.55468,P,PPL,US,,MO,47,,,25410,287,292,America/Chicago,2011-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4388005,Glasgow Village,Glasgow Village,,38.75366,-90.19844,P,PPL,US,,MO,189,,,5429,152,156,America/Chicago,2011-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4388036,Glendale,Glendale,Glendejl,Глендейл,38.59589,-90.37706,P,PPL,US,,MO,189,,,5925,179,182,America/Chicago,2011-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4388402,Grain Valley,Grain Valley,,39.01501,-94.19856,P,PPL,US,,MO,95,,,12854,242,242,America/Chicago,2011-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4388460,Grandview,Grandview,GVW,Grandview,38.88584,-94.53301,P,PPL,US,,MO,95,,,24475,320,324,America/Chicago,2013-11-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4388831,Greenwood,Greenwood,,38.85168,-94.34384,P,PPL,US,,MO,95,,,5221,290,295,America/Chicago,2011-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4389418,Hannibal,Hannibal,Gannibal,Khannibal,hanybal,hanybal, myzwry,Ганнибал,Ханнибал,هانيبال، ميزوري,هانیبال,39.70838,-91.35848,P,PPL,US,,MO,127,,,17916,153,158,America/Chicago,2011-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4389658,Harrisonville,Harrisonville,,38.65334,-94.34884,P,PPLA2,US,,MO,37,,,10019,292,295,America/Chicago,2011-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4389967,Hazelwood,Hazelwood,,38.77144,-90.37095,P,PPL,US,,MO,189,,,25703,171,173,America/Chicago,2011-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4391812,Independence,Independence,Indehpendens,Independence,Independens,Indipenduns,andybndns, myzwry,ayndypndns, myzwry,du li cheng,indipendensu,indipendeonseu,Индепенденс,Индипендънс,Индэпенденс,إنديبندنس، ميزوري,ایندیپندنس، میزوری,インディペンデンス,独立城,인디펜던스,39.09112,-94.41551,P,PPL,US,,MO,95,,,116830,315,319,America/Chicago,2011-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4392163,Jackson,Jackson,Dzhekson,Джексон,37.38227,-89.66621,P,PPLA2,US,,MO,31,,,13758,141,142,America/Chicago,2011-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4392388,Jefferson City,Jefferson City,Dinas Jefferson,Dzeferson Siti,Dzeferson Sitis,Dzefersonsitija,Dzhefersun Siti,Dzhefferson Siti,Dzhefferson-Siti,Dzhehfersan-Sici,Džeferson Sitis,Džefersonsitija,JEF,Jefferson City,Jeffersonurbo,Lungsod ng Jefferson,g'prswn syty,jefasonshiti,jeparcan nakaram,jepeoseunsiti,jepharasana siti,jepharsana siti,jfrswn syty, myzwry,jie fei xun cheng,Џеферсон Сити,Джеферсън Сити,Джефферсон Сити,Джефферсон-Сити,Джефферсон-Сіті,Джэферсан-Сіці,Ջեֆերսոն Սիթի,ג'פרסון סיטי,جفرسون سيتي، ميزوري,جفرسون‌سیتی,جیفرسن سٹی,जेफरसन सिटी,जेफर्सन सिटी,ஜெபர்சன் நகரம்,ジェファーソンシティ,杰斐逊城,제퍼슨시티,38.5767,-92.17352,P,PPLA,US,,MO,51,,,43079,192,195,America/Chicago,2011-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4392445,Jennings,Jennings,,38.71922,-90.26039,P,PPL,US,,MO,189,,,14712,158,156,America/Chicago,2011-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4392768,Joplin,Joplin,Dzhoplin,JLN,japlyn, myzwry,jopurin,jwbln, myzwry,Джоплин,جاپلین، میزوری,جوبلن، ميزوري,ジョプリン,37.08423,-94.51328,P,PPL,US,,MO,97,,,50150,306,308,America/Chicago,2011-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4393217,Kansas City,Kansas City,Dinas Kansas,Ilu Kansas,Kansas City,Kansas City i Missouri,Kansas Lakanbalen,Kansas Sity,Kansasurbo,Kanzas Shehiri,Kanzas Siti,Kanzas Sitis,Kanzas-Sici,Kanzas-Siti,Kanzassitija,Lungsod ng Kansas,MKC,kaenjaseusiti,kan sa si cheng,kanzas syty, myzwry,kanzas-siti,kanzasushiti,kencas nakaram,kensasa siti,qnzs syty,Ìlú Kansas,Κάνσας Σίτυ,Канзас Сити,Канзас-Сити,Канзас-Сіті,Канзас-Сіці,Կանզաս Սիթի,קנזס סיטי,كانزاس سيتي، ميزوري,کانزاس‌سیتی,कॅन्सस सिटी,கேன்சஸ் நகரம்,แคนซัสซิตี,კანზას-სიტი,ქანზას-სითი,カンザスシティ,堪薩斯城,캔자스시티,39.09973,-94.57857,P,PPL,US,,MO,95,,,459787,274,290,America/Chicago,2012-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4393269,Kearney,Kearney,Kerni,Керни,39.36778,-94.36217,P,PPL,US,,MO,47,,,8381,261,264,America/Chicago,2011-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4393451,Kennett,Kennett,KNT,36.23618,-90.05565,P,PPLA2,US,,MO,69,,,10932,82,82,America/Chicago,2011-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4393739,Kirkwood,Kirkwood,Kirkvud,Kirkvuda,ke ke wu de,kyrkwwd, myzwry,Кирквуд,Кирквуда,كيركوود، ميزوري,کرک‌وود، میزوری,柯克伍德,38.58339,-90.40678,P,PPL,US,,MO,189,,,27540,201,204,America/Chicago,2011-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4394084,Ladue,Ladue,,38.64977,-90.38067,P,PPL,US,,MO,189,,,8521,188,189,America/Chicago,2011-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4394302,Lake Saint Louis,Lake Saint Louis,,38.79755,-90.78568,P,PPL,US,,MO,183,,,14545,172,170,America/Chicago,2011-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4394794,Lebanon,Lebanon,,37.6806,-92.66379,P,PPLA2,US,,MO,105,,,14474,384,386,America/Chicago,2011-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4394870,Lees Summit,Lees Summit,,38.91084,-94.38217,P,PPL,US,,MO,95,,,91364,316,323,America/Chicago,2011-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4394905,Lemay,Lemay,,38.53339,-90.27928,P,PPL,US,,MO,189,,,16645,144,145,America/Chicago,2011-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4395052,Liberty,Liberty,Liberti,lybrty, myzwry,Либерти,ليبرتي، ميزوري,لیبرتی، میزوری,39.24611,-94.41912,P,PPLA2,US,,MO,47,,,29149,268,274,America/Chicago,2011-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4396767,Macon,Macon,Makon,Макон,39.74226,-92.47269,P,PPLA2,US,,MO,121,,,5471,265,271,America/Chicago,2011-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4396915,Manchester,Manchester,Manchester,Манчестер,38.597,-90.50929,P,PPL,US,,MO,189,,,18094,176,174,America/Chicago,2011-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4397042,Maplewood,Maplewood,,38.61255,-90.32456,P,PPL,US,,MO,189,,,8046,154,152,America/Chicago,2011-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4397211,Marshall,Marshall,Marshall,Маршалл,39.12308,-93.19687,P,PPLA2,US,,MO,195,,,13065,233,239,America/Chicago,2011-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4397238,Marshfield,Marshfield,,37.33866,-92.90712,P,PPLA2,US,,MO,225,,,6633,455,456,America/Chicago,2011-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4397340,Maryland Heights,Maryland Heights,,38.71311,-90.42984,P,PPL,US,,MO,189,,,27472,161,162,America/Chicago,2011-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4397962,Mehlville,Mehlville,,38.50839,-90.32289,P,PPL,US,,MO,189,,,28380,184,182,America/Chicago,2011-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4398103,Mexico,Mexico,,39.16976,-91.88295,P,PPLA2,US,,MO,7,,,11543,244,247,America/Chicago,2011-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4398730,Moberly,Moberly,,39.41837,-92.43824,P,PPL,US,,MO,175,,,13974,265,268,America/Chicago,2011-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4398776,Monett,Monett,,36.92895,-93.92771,P,PPL,US,,MO,9,,,8873,413,414,America/Chicago,2011-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4399914,Murphy,Murphy,,38.49033,-90.48707,P,PPL,US,,MO,99,,,8690,175,173,America/Chicago,2011-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4400183,Neosho,Neosho,,36.86896,-94.368,P,PPLA2,US,,MO,145,,,11835,316,319,America/Chicago,2011-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4400203,Nevada,Nevada,Nevada,Невада,37.83921,-94.35467,P,PPLA2,US,,MO,217,,,8386,266,272,America/Chicago,2011-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4400648,Nixa,Nixa,,37.04339,-93.29435,P,PPL,US,,MO,43,,,19022,395,398,America/Chicago,2011-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4400737,Normandy,Normandy,,38.72088,-90.29734,P,PPL,US,,MO,189,,,5008,184,185,America/Chicago,2011-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4401242,O'Fallon,O'Fallon,,38.81061,-90.69985,P,PPL,US,,MO,183,,,79329,165,164,America/Chicago,2011-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4401282,Oak Grove,Oak Grove,,39.00501,-94.12939,P,PPL,US,,MO,95,,,7795,268,271,America/Chicago,2011-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4401618,Oakville,Oakville,,38.47005,-90.30456,P,PPL,US,,MO,189,,,36143,183,181,America/Chicago,2011-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4401659,Odessa,Odessa,Odessa,Одесса,38.99917,-93.95356,P,PPL,US,,MO,107,,,5300,285,288,America/Chicago,2011-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4401938,Olivette,Olivette,,38.66533,-90.37595,P,PPL,US,,MO,189,,,7737,202,207,America/Chicago,2011-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4402178,Overland,Overland,,38.70116,-90.36234,P,PPL,US,,MO,189,,,16062,195,195,America/Chicago,2011-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4402245,Ozark,Ozark,,37.02089,-93.20602,P,PPLA2,US,,MO,43,,,17820,356,360,America/Chicago,2011-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4402300,Pacific,Pacific,,38.482,-90.74152,P,PPL,US,,MO,71,,,7002,142,141,America/Chicago,2011-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4402479,Park Hills,Park Hills,,37.85422,-90.51818,P,PPL,US,,MO,187,,,8759,232,231,America/Chicago,2011-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4402544,Parkville,Parkville,,39.195,-94.68218,P,PPL,US,,MO,165,,,5554,253,258,America/Chicago,2011-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4402998,Perryville,Perryville,,37.72422,-89.86122,P,PPLA2,US,,MO,157,,,8225,177,177,America/Chicago,2011-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4403102,Pevely,Pevely,,38.28339,-90.39512,P,PPL,US,,MO,99,,,5484,137,138,America/Chicago,2011-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4403710,Pleasant Hill,Pleasant Hill,,38.78751,-94.26939,P,PPL,US,,MO,37,,,8113,277,282,America/Chicago,2011-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4404233,Poplar Bluff,Poplar Bluff,POF,Poplar Blaff,paplr blwf, myzwry,Поплар Блафф,پاپلر بلوف، میزوری,36.757,-90.39289,P,PPLA2,US,,MO,23,,,17023,110,116,America/Chicago,2011-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4405180,Raymore,Raymore,,38.80195,-94.45273,P,PPL,US,,MO,37,,,19206,334,338,America/Chicago,2011-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4405188,Raytown,Raytown,,39.00862,-94.46356,P,PPL,US,,MO,95,,,29526,310,310,America/Chicago,2011-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4405434,Republic,Republic,,37.12005,-93.48019,P,PPL,US,,MO,77,,,14751,399,402,America/Chicago,2011-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4405588,Richmond,Richmond,Richmond,Ричмонд,39.27862,-93.97689,P,PPLA2,US,,MO,177,,,5797,251,253,America/Chicago,2011-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4405589,Richmond Heights,Richmond Heights,,38.62866,-90.31956,P,PPL,US,,MO,189,,,8603,161,163,America/Chicago,2011-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4406282,Rolla,Rolla,RLA,Rolla,luo la,rwla, myzwry,Ролла,رولا، میزوری,罗拉,37.95143,-91.77127,P,PPLA2,US,,MO,161,,,19559,342,342,America/Chicago,2011-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4406783,Saint Ann,Saint Ann,Sent-Ehnn,Сент-Энн,38.72727,-90.38317,P,PPL,US,,MO,189,,,13020,177,183,America/Chicago,2011-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4406831,Saint Charles,Saint Charles,Sehjnt Charlz,Sent-Charl'z,St. Charles,snt charlz, myzwry,Сент-Чарльз,Сэйнт Чарлз,سنت چارلز، میزوری,38.78394,-90.48123,P,PPLA2,US,,MO,183,,,65794,147,150,America/Chicago,2011-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4406941,Saint John,Saint John,,37.88921,-92.37962,P,PPL,US,,MO,169,,,6584,327,330,America/Chicago,2006-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4406951,Saint Johns,Saint Johns,,38.71338,-90.34317,P,PPL,US,,MO,189,,,7690,185,190,America/Chicago,2006-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4407010,Saint Joseph,Saint Joseph,Saint Joseph,Sent-Dzhozef,St. Joseph,Сент-Джозеф,39.76861,-94.84663,P,PPLA2,US,,MO,21,,,76780,270,279,America/Chicago,2011-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4407066,St. Louis,St. Louis,Gorad Sent-Luis,STL,Saint Louis,San Luis,Sankta Luiso,Sejnt Luis,Sent Luis,Sent Luisas,Sent-Lueis,Sent-Luis,Sent-Lüis,Sentluisa,St Louis,St. Louis,Urbs Sancti Ludovici,ceyint luyis,saint luyis,sant lwys, myzwry,seinteulu-iseu,senta lu'isa,senthluys,sentoruisu,seyint luyis,sheng lu yi si,snt lwyys,Горад Сент-Луіс,Сейнт Луис,Сент Луис,Сент-Луис,Сент-Луїс,סנט לואיס,سانت لويس، ميزوري,سنت لوئیس,सेंट लुईस,செயின்ட் லூயிஸ்,సెయింట్ లూయిస్,ಸೈಂಟ್ ಲೂಯಿಸ್,เซนต์หลุยส์,სენტ-ლუისი,セントルイス,圣路易斯,세인트루이스,38.62727,-90.19789,P,PPLA2,US,,MO,510,,,319294,142,149,America/Chicago,2013-03-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4407237,Saint Peters,Saint Peters,City of Saint Peters,Sankt-Peterbu,Санкт-Петербу,38.80033,-90.62651,P,PPL,US,,MO,183,,,52575,134,133,America/Chicago,2012-09-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4407617,Sappington,Sappington,,38.537,-90.37984,P,PPL,US,,MO,189,,,7580,182,183,America/Chicago,2011-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4407665,Savannah,Savannah,Savanna,Саванна,39.94166,-94.83025,P,PPLA2,US,,MO,3,,,5057,337,339,America/Chicago,2011-05-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
